Coaster_Name,Location,Manufacturer,Type_Main,Year_Introduced,Latitude,Longitude,Speed_mph,Height_ft,Inversions,Gforce,Opening_Date
Corkscrew (Playland),Playland,Vekoma,Steel,1994,49.2839,-123.0357,40,74,2,3.3809780869439336,1994-01-01
Desperado (roller coaster),Primm Valley Resorts,Arrow Dynamics,Steel,1994,35.6142,-115.3844,80,181,0,4.0,1994-08-11
Diavlo,Himeji Central Park,Bolliger & Mabillard,Steel,1994,34.8755,134.7637,48,99,5,4.255196791787032,1994-07-01
Hakugei (roller coaster),Nagashima Spa Land,Rocky Mountain Construction,Steel,1994,35.0303,136.7347,66,180,3,4.0,2019-03-28
Hoosier Hurricane,Indiana Beach,Custom Coasters International,Wood,1994,40.7903,-86.7706,51,104,0,3.511111053991037,1994-05-27
Hurler (roller coaster),Other,"International Coasters, Inc.",Wood,1994,38.339240921241036,-41.49833530516298,50,102,0,4.1,1999-01-01
Nemesis (roller coaster),Alton Towers,Bolliger & Mabillard,Steel,1994,52.9869,-1.8828,50,42,4,3.5,1994-03-19
Raptor (Cedar Point),Cedar Point,Bolliger & Mabillard,Steel,1994,41.479,-82.6818,57,120,6,4.417846485405878,1994-05-07
Roller Skater (roller coaster),Kentucky Kingdom,Vekoma,Steel,1994,38.1967,-85.7476,21,25,0,2.540399354773701,1994-04-15
Shockwave (Drayton Manor),Drayton Manor Theme Park,Intamin,Steel,1994,52.6125,-1.7161,53,110,4,4.0,1994-03-26
The Big One (roller coaster),Blackpool Pleasure Beach,Arrow Dynamics,Steel,1994,53.7892,-3.0553,74,166,0,3.5,1994-05-28
Titan (Space World),Space World,Arrow Dynamics,Steel,1994,33.8748,130.8134,71,161,0,3.7,1994-03-05
White Canyon (roller coaster),Yomiuriland,TOGO,Wood,1994,35.6258,139.5214,52,109,0,3.5,1994-04-09
Zach's Zoomer,Michigan's Adventure,Custom Coasters International,Wood,1994,43.3434,-86.2809,46,91,0,3.3718852410989903,1994-07-22
Arkham Asylum – Shock Therapy,Warner Bros. Movie World,Vekoma,Steel,1995,-27.9083,153.3119,54,109,5,4.0,1995-12-26
Back at the Barnyard Hayride,Nickelodeon Universe,Zamperla,Steel,1995,44.8542,-93.2422,46,91,0,3.3609816160307275,1995-01-01
The Gold Coaster,Other,Arrow Dynamics,Steel,1995,37.91211313674576,-37.670833381510874,52,131,2,3.0,1999-01-01
Cactus Coaster,Other,Allan Herschell Company,Steel,1995,38.414281232092925,-41.603501714692584,46,92,0,3.399666746643774,1999-01-01
Cannonball Express (roller coaster),Pleasurewood Hills,Anton Schwarzkopf,Steel,1995,52.5062,1.7451,34,59,0,3.10612872402179,1995-01-01
Cannonball Run (roller coaster),Waterville USA,Custom Coasters International,Wood,1995,30.2585,-87.6859,43,82,0,3.1870626058371236,1995-01-01
Comet Express,Other,Vekoma,Other,1995,38.414281232092925,-41.603501714692584,46,92,0,3.399666746643774,1999-01-01
Cyclops (roller coaster),Mt. Olympus Water & Theme Park,Custom Coasters International,Wood,1995,43.6161,-89.7897,58,123,0,4.2,1995-01-01
Dragon Khan,PortAventura Park,Bolliger & Mabillard,Steel,1995,41.0875,1.1608,65,148,8,4.0,1995-05-02
Eurostar (roller coaster),Other,Intamin,Steel,1995,38.1549854307959,-38.25918470642898,50,102,4,5.2,1999-01-01
Flight Deck (Canada's Wonderland),Canada's Wonderland,Vekoma,Steel,1995,43.8412,-79.539,49,109,5,4.0810100944093435,1995-01-01
The Great Nor'easter,Morey's Piers,Vekoma,Steel,1995,38.9893,-74.8023,55,114,5,4.222052380145563,1995-05-26
Jaguar!,Knott's Berry Farm,Zierer,Steel,1995,33.8458,-117.9992,35,60,0,2.905204348211477,1995-06-17
The Raven (roller coaster),Holiday World & Splashin' Safari,Custom Coasters International,Wood,1995,38.1194,-86.9152,50,101,0,3.4544695660727456,1995-05-06
Sidewinder (Elitch Gardens),Other,Arrow Dynamics,Steel,1995,38.406202046702965,-40.745408643472274,45,88,1,4.0,1999-01-01
Space Mountain: De la Terre à la Lune,Disneyland Park (Paris),Vekoma,Steel,1995,48.8741,2.7793,44,86,3,3.7687298177828197,2017-05-07
Space Shuttle (roller coaster),Enchanted Kingdom,Vekoma,Steel,1995,14.2819,121.0954,47,95,3,5.2,1995-07-28
T2 (roller coaster),Kentucky Kingdom,Vekoma,Steel,1995,38.1941,-85.747,49,100,5,4.031407466777161,1995-04-08
Twister II,Elitch Gardens,Hensel Phelps Construction,Wood,1995,39.7464,-105.0144,55,114,0,3.1,1995-05-27
Viper (Six Flags Great Adventure),Six Flags Great Adventure,TOGO,Steel,1995,40.139,-74.435,48,96,2,3.6476676503498915,1995-06-02
Viper (Six Flags Great America),Six Flags Great America,Six Flags,Wood,1995,42.3681,-87.9372,50,101,0,3.6,1995-04-29
Viper (Six Flags Over Georgia),Other,Anton Schwarzkopf,Other,1995,38.28071985993997,-40.3141416139307,49,100,2,3.7307408104429527,1999-01-01
Backyardigans: Mission to Mars,Movie Park Germany,Vekoma,Steel,1996,51.6198,6.976,21,27,0,2.6968541812847278,1996-06-30
The Barnstormer,Magic Kingdom,Vekoma,Steel,1996,28.4205,-81.5784,25,29,0,2.5771305135421265,1996-10-01
Colorado Adventure,Phantasialand,Vekoma,Steel,1996,50.7987,6.8815,31,51,0,2.998225567716144,1996-05-11
Flight of Fear,Other,Premier Rides,Steel,1996,38.05203323777287,-38.14297607647757,54,113,4,4.5,1999-01-01
Fujiyama (roller coaster),Fuji-Q Highland,TOGO,Steel,1996,35.4859,138.777,81,186,0,3.5,1996-07-01
The Great White (Morey's Piers),Morey's Piers,Custom Coasters International,Wood,1996,38.9865,-74.8107,50,101,0,3.462194287453631,1996-06-10
High Roller (Stratosphere),Stratosphere Tower,S&MC,Steel,1996,36.1474,-115.1554,30,47,0,2.0,1996-04-29
Megafobia,Oakwood Theme Park,Custom Coasters International,Wood,1996,51.7807,-4.8056,48,96,0,2.75,1996-04-30
Montu (roller coaster),Busch Gardens Tampa Bay,Bolliger & Mabillard,Steel,1996,28.0347,-82.4175,60,128,7,3.8,1996-05-16
Pegasus (Mt. Olympus Water and Theme Park),Mt. Olympus Water & Theme Park,Custom Coasters International,Wood,1996,43.614,-89.7898,40,74,0,3.138367994430258,1996-01-01
Rougarou (roller coaster),Cedar Point,Bolliger & Mabillard,Steel,1996,41.4826,-82.6874,60,128,4,4.259972209086236,2015-05-09
Runaway Mountain,"Arlington, Texas, U.S.",Vekoma,Other,1996,32.7557,-97.0702,47,93,0,3.3119337019686625,1999-01-01
Santa Monica West Coaster,Pacific Park,D. H. Morgan Manufacturing,Steel,1996,38.68240257901962,-41.76351950566027,35,61,0,3.009573538969981,1996-05-25
Skull Mountain,Six Flags Great Adventure,Intamin,Steel,1996,40.1346,-74.4419,33,55,0,2.3,1996-06-03
The Barnstormer at Goofy's Wiseacre Farm,Magic Kingdom,Vekoma,Steel,1996,28.4205,-81.5784,25,29,0,2.5771305135421265,1996-10-01
The Joker's Revenge,Other,Vekoma,Steel,1996,38.46549329833626,-39.796303124034694,40,75,3,3.5,1999-01-01
The Mind Eraser (Geauga Lake),Other,Vekoma,Steel,1996,38.14891473500553,-36.89184460202523,47,94,6,5.2,1999-01-01
The Walking Dead: The Ride,Thorpe Park Resort,Vekoma,Steel,1996,51.4036,-0.5132,27,42,0,2.4,1996-03-23
Timber Terror,Silverwood Theme Park,Custom Coasters International,Wood,1996,47.9044,-116.7094,55,115,0,3.617290490294174,1996-01-01
The Underground (roller coaster),Adventureland (Iowa),Custom Coasters International,Wood,1996,38.37465094630278,-41.10545297383953,46,93,0,3.392445953856292,1996-04-27
Wild Thing (Valleyfair),Valleyfair,D. H. Morgan Manufacturing,Steel,1996,44.7986,-93.4587,75,169,0,4.1,1996-05-11
Wildcat (Hersheypark),Hersheypark,Great Coasters International,Wood,1996,40.2925,-76.6558,50,101,0,3.5,1996-05-26
Wilde maus,Other,Mack Rides,Steel,1996,38.86586992361457,-42.152106192966926,28,42,0,2.780694476352327,1999-01-01
Alpengeist,Busch Gardens Williamsburg,Bolliger & Mabillard,Steel,1997,37.2328,-76.6476,67,147,6,3.7,1997-03-22
Boomerang: Coast to Coaster,Other,Vekoma,Steel,1997,38.184061060434146,-37.846266807045254,47,94,3,5.2,1999-01-01
Chang (roller coaster),Other,Bolliger & Mabillard,Steel,1997,37.7666606042354,-36.86901834502794,63,137,5,4.502202517763735,1999-01-01
Euro-Mir,Europa-Park,Mack Rides,Steel,1997,48.2647,7.7197,49,102,0,4.0,1997-01-01
The Great White (SeaWorld San Antonio),SeaWorld San Antonio,Bolliger & Mabillard,Steel,1997,29.4523,-98.6965,50,101,5,4.6,1997-02-01
Green Lantern (Six Flags Great Adventure),Other,Bolliger & Mabillard,Steel,1997,37.7666606042354,-36.86901834502794,63,137,5,4.502202517763735,1999-01-01
Invertigo (roller coaster),Other,Vekoma,Other,1997,38.1653857438133,-38.72987106995981,50,102,3,3.8420358364412763,1999-01-01
Kiddie Coaster,Lake Compounce,Molina & Sons,Steel,1997,41.6423,-72.9226,46,93,0,3.358792266083274,1997-06-27
American Dreier Looping,Other,Anton Schwarzkopf,Steel,1997,38.05548790464369,-38.01544865262974,53,110,3,4.7,1999-01-01
Pyrenees (roller coaster),Parque Espana-Shima Spain Village,Bolliger & Mabillard,Steel,1997,34.3598,136.845,62,147,6,4.804362272582281,1997-01-01
Road Runner Express (Six Flags Fiesta Texas),Six Flags Fiesta Texas,Arrow Dynamics,Steel,1997,29.5991,-98.613,35,61,0,3.0,1997-05-01
Big Apple Coaster,New York-New York Hotel and Casino,TOGO,Steel,1997,36.1019,-115.1736,67,147,2,4.179274841228111,1997-01-03
Skytrak,Granada Studios Tour,Skytrak International,Steel,1997,53.4781,-2.2571,28,43,0,2.5,1997-10-01
Stampida,Other,Custom Coasters International,Wood,1997,41.0904,1.1566,46,92,0,3.4222925796718933,1997-03-17
Steel Force,Dorney Park & Wildwater Kingdom,D. H. Morgan Manufacturing,Steel,1997,40.5789,-75.5381,75,169,0,3.4,1997-05-30
Superman: Escape from Krypton,Other,Intamin,Steel,1997,34.425,-118.598,100,236,0,4.5,1997-03-15
Tonnerre de Zeus,Parc Astérix,Custom Coasters International,Wood,1997,49.1314,2.5739,52,108,0,3.6585831324884204,1997-01-01
Tower of Terror II,Dreamworld,Intamin,Steel,1997,-27.8641,153.3174,100,377,0,4.5,1997-01-23
Windjammer Surf Racers,Other,TOGO,Steel,1997,33.8458,-118.0008,40,74,1,3.1638204904112293,1997-03-26
Zeus (roller coaster),Mt. Olympus Water & Theme Park,Custom Coasters International,Wood,1997,43.6167,-89.7892,60,129,0,3.7823799019816953,1997-06-07
Zoomerang (Lake Compounce),Lake Compounce,Vekoma,Steel,1997,41.643,-72.9229,47,94,3,5.2,1997-06-27
Batman & Robin: The Chiller,Other,Premier Rides,Steel,1998,37.75575188902109,-37.8854687130862,65,143,1,5.0,1998-04-04
Blue Tornado (roller coaster),Gardaland,Vekoma,Steel,1998,45.4566,10.7137,49,102,5,4.5,1998-01-01
Doo Wopper,Morey's Piers,Zamperla,Steel,1998,38.9892,-74.803,46,94,0,3.34087831313407,1998-08-07
Excalibur (Funtown Splashtown USA),Funtown Splashtown USA,Custom Coasters International,Wood,1998,43.5283,-70.4312,55,115,0,3.630621748960369,1998-01-01
GhostRider (roller coaster),Knott's Berry Farm,Custom Coasters International,Wood,1998,33.8426,-117.9981,56,117,0,3.1,1998-12-08
Great Bear (roller coaster),Hersheypark,Bolliger & Mabillard,Steel,1998,40.2869,-76.6531,58,123,4,4.173984911385293,1998-05-23
Invertigo (California's Great America),Other,Vekoma,Other,1998,38.12851332501994,-38.23769599410241,50,102,3,3.8313846521831003,1999-01-01
Journey to Atlantis,SeaWorld Orlando,Mack Rides,Steel,1998,38.29539037472247,-40.10935549213309,46,94,0,3.3780043682813243,1998-04-17
Kong (roller coaster),Other,Vekoma,Steel,1998,38.07837614017245,-37.115157975053194,49,101,5,4.056681114532019,1999-01-01
Mad Cobra (roller coaster),"Suzuka, Mie Prefecture, Japan",Vekoma,Other,1998,34.8431,136.5406,46,95,0,3.5671078514285917,1999-01-01
Mad Mouse (Pavilion),Myrtle Beach Pavilion,Arrow Dynamics,Steel,1998,33.6929,-78.8824,25,34,0,2.5912134801108273,1998-06-13
Mamba (roller coaster),Worlds of Fun,D. H. Morgan Manufacturing,Steel,1998,39.172,-94.4906,75,169,0,3.5,1998-04-18
Monte Makaya,Terra Encantada,Intamin,Steel,1998,-22.9853,-43.3644,50,101,8,4.120977172612079,1998-01-16
Mr. Freeze (roller coaster),Other,Premier Rides,Steel,1998,37.648493872740204,-37.9625537144816,70,156,2,4.0,1999-01-01
Oblivion (roller coaster),Alton Towers,Bolliger & Mabillard,Steel,1998,52.9866,-1.8965,68,65,0,4.5,1998-03-14
Rampage (roller coaster),Alabama Splash Adventure,Custom Coasters International,Wood,1998,33.3792,-86.9969,56,118,0,3.595239941267856,1998-05-23
Rattlesnake (roller coaster),Chessington World of Adventures,Maurer AG,Steel,1998,51.3487,-0.3178,28,43,0,2.868402566786557,1998-01-01
The Riddler's Revenge,Six Flags Magic Mountain,Bolliger & Mabillard,Steel,1998,34.4245,-118.6006,65,141,6,4.2,1998-04-04
Roar (roller coaster),Other,Great Coasters International,Wood,1998,38.20225137980579,-39.915521555712644,50,104,0,3.5,1999-01-01
Roller Coaster (Dam Sen Park),Dam Sen Cultural Park,Hebei Zhongye Metallurgical Equipment,Steel,1998,10.7605,106.6368,43,78,3,3.8,1998-01-01
Scooby's Ghoster Coaster,Kings Island,Caripro,Steel,1998,39.3423,-84.2699,8,-11,0,1.0,1998-04-18
Shivering Timbers,Michigan's Adventure,Custom Coasters International,Wood,1998,43.3422,-86.2761,57,121,0,3.8,1998-01-01
Sprocket Rockets,Six Flags Great America,Vekoma,Steel,1998,42.3669,-87.9311,21,25,0,2.5131836628937023,1998-01-01
Storm Chaser (roller coaster),Kentucky Kingdom,Rocky Mountain Construction,Steel,1998,38.1958,-85.7503,52,107,3,3.8,2016-04-30
Thunderhawk (Michigan's Adventure),Other,Vekoma,Steel,1998,38.07837614017245,-37.115157975053194,49,101,5,4.056681114532019,1999-01-01
Vapor Trail (roller coaster),Sesame Place,Vekoma,Steel,1998,40.1852,-74.8725,27,40,0,2.69230911497597,1998-06-01
Vogel Rok,Efteling,Vekoma,Steel,1998,51.6522,5.0525,40,76,0,3.5,1998-04-09
Volcano: The Blast Coaster,Kings Dominion,Intamin,Steel,1998,37.8394,-77.4402,70,156,4,4.554491932142533,1998-08-03
Wild Mouse (Lagoon),Lagoon Amusement Park,Maurer AG,Steel,1998,40.9839,-111.8945,28,42,0,2.6838935589192836,1998-04-10
Wilderness Run (Carowinds),Carowinds,E&F Miler Industries,Steel,1998,35.1011,-80.9388,15,7,0,2.26784372181222,1998-01-01
Afterburn (roller coaster),Carowinds,Bolliger & Mabillard,Steel,1999,35.1003,-80.9409,62,134,6,4.498174548734298,1999-03-20
Apollo's Chariot,Busch Gardens Williamsburg,Bolliger & Mabillard,Steel,1999,37.2348,-76.6413,73,164,0,4.1,1999-03-30
Bandit (Movie Park Germany),Movie Park Germany,Roller Coaster Corporation of America,Wood,1999,51.6242,6.9754,49,91,0,3.5579882197628514,1999-01-01
Bizarro (roller coaster),Six Flags Great Adventure,Bolliger & Mabillard,Steel,1999,40.1382,-74.4323,61,131,7,4.0,1999-04-02
Canyon Blaster (Six Flags Magic Mountain),Six Flags Magic Mountain,E&F Miler Industries,Steel,1999,34.4249,-118.5964,10,-6,0,1.0,1999-05-30
Dragon Challenge,Other,Bolliger & Mabillard,Steel,1999,28.4736,-81.4733,60,129,5,4.283666558713062,1999-05-28
Exterminator (roller coaster),Kennywood,Reverchon Industries,Steel,1999,40.3894,-79.8677,29,46,0,2.5,1999-04-18
Georgia Scorcher,Six Flags Over Georgia,Bolliger & Mabillard,Steel,1999,33.7703,-84.5506,54,113,2,4.0,1999-05-08
Great Chase (Six Flags America),Six Flags America,Zamperla,Steel,1999,38.9075,-76.772,11,-2,0,2.1488247774159106,1999-01-01
Harley Quinn Crazy Train,Six Flags Great Adventure,Zierer,Steel,1999,40.1348,-74.4397,22,28,0,2.530855121913053,1999-01-01
The Howler,Holiday World & Splashin' Safari,Zamperla,Steel,1999,38.1189,-86.9103,16,10,0,2.296552567378285,1999-05-08
The Incredible Hulk Coaster,Universal's Islands of Adventure,Bolliger & Mabillard,Steel,1999,28.4712,-81.4684,67,147,7,4.0,1999-05-28
Invertigo (Kings Island),Other,Vekoma,Other,1999,38.09164090622657,-37.745520918245234,50,102,3,3.8207334679249243,1999-01-01
Iron Gwazi,Busch Gardens Tampa Bay,Rocky Mountain Construction,Steel,1999,28.0339,-82.4231,76,172,2,4.453495657832555,1999-01-01
The Joker's Jinx,Six Flags America,Premier Rides,Steel,1999,38.91,-76.776,60,129,4,4.5,1999-05-08
Katapul,Other,Anton Schwarzkopf,Other,1999,38.12219871677935,-38.32194665051804,49,102,2,3.7018576392930207,1999-01-01
Lil' Devil Coaster,Six Flags Great Adventure,Zamperla,Steel,1999,40.1343,-74.4434,47,94,0,3.337130982285334,1999-01-01
Limit (roller coaster),Heide Park,Vekoma,Steel,1999,53.026,9.8818,49,102,5,4.173394270935987,1999-01-01
Mad Mouse (Michigan's Adventure),Michigan's Adventure,Arrow Dynamics,Steel,1999,43.3474,-86.2789,33,56,0,2.8788708755447843,1999-08-07
Mad Mouse (Valleyfair),Valleyfair,Arrow Dynamics,Steel,1999,44.7999,-93.4591,30,48,0,2.77876535733051,1999-05-08
Millennium Roller Coaster,Fantasy Island,Vekoma,Steel,1999,53.192,0.347,56,119,3,4.1349545367342735,1999-05-22
Montaña Rusa (Parque del Café),Other,Anton Schwarzkopf,Steel,1999,38.45386147625348,-40.722659034798085,41,78,0,2.1,1999-01-01
Montezum,Hopi Hari,Roller Coaster Corporation of America,Wood,1999,-23.0987,-47.0109,64,140,0,3.6275024310007353,1999-01-01
Nightmare at Crack Axle Canyon,Other,Anton Schwarzkopf,Steel,1999,38.67662380526522,-40.5090438136923,31,51,0,2.8468319504139323,1999-01-01
Poltergeist (roller coaster),Six Flags Fiesta Texas,Premier Rides,Steel,1999,29.5969,-98.6083,60,129,4,4.5,1999-05-28
Powder Keg: A Blast into the Wilderness,Other,S&S – Sansei Technologies,Steel,1999,37.81278655726495,-38.695919566521525,64,140,0,3.9,1999-01-01
Pteranodon Flyers,"Universal Orlando Resort, Orlando, Florida, United States",Vekoma,Other,1999,28.4717,-81.4714,47,96,0,3.293462004769232,1999-01-01
"Python (Coney Island, Cincinnati, Ohio)",Coney Island,Pinfari,Steel,1999,39.0539,-84.419,47,94,0,3.322543940390929,1999-01-01
Raging Bull (roller coaster),Six Flags Great America,Bolliger & Mabillard,Steel,1999,42.3658,-87.9371,73,164,0,4.182358298788735,1999-05-01
Road Runner Express (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Zamperla,Steel,1999,38.1371,-122.2345,47,94,0,3.276984290179019,1999-01-01
Rock 'n' Roller Coaster Starring Aerosmith,Other,Vekoma,Steel,1999,37.86902587213172,-36.67139183291749,57,122,3,5.0,1999-01-01
Rollie's Coaster,Morey's Piers,Pinfari,Steel,1999,38.9858,-74.8097,27,40,0,2.675635836125977,1999-01-01
Silver Comet (roller coaster),Fantasy Island,Custom Coasters International,Wood,1999,43.0283,-78.9739,50,102,0,3.4430417459694738,1999-05-01
Steel Eel,SeaWorld San Antonio,D. H. Morgan Manufacturing,Steel,1999,29.4553,-98.6961,65,142,0,3.5,1999-03-06
Superman – Ride of Steel,Other,Intamin,Steel,1999,37.5758197376955,-38.17752368985282,73,164,0,4.22010632611984,1999-01-01
Tennessee Tornado,Dollywood,Arrow Dynamics,Steel,1999,35.793,-83.5279,63,137,3,3.7,1999-04-17
Thunderbolt (Celebration City),Other,S&MC,Steel,1999,38.59799494329595,-40.342506661989546,34,59,0,2.944922977250066,1999-01-01
Tornado (Parque de Atracciones de Madrid),Parque de Atracciones de Madrid,Intamin,Steel,1999,40.4134,-3.748,49,102,3,4.0,1999-05-23
Tremors (roller coaster),Silverwood Theme Park,Custom Coasters International,Wood,1999,47.9053,-116.7097,50,101,0,2.5,1999-05-15
Twisted Typhoon,Wild Adventures,Vekoma,Steel,1999,30.7181,-83.3243,49,101,5,3.9546772499038667,1999-05-08
Twister (Knoebels Amusement Resort),Knoebels Amusement Resort,Knoebels Amusement Resort,Wood,1999,40.8771,-76.5041,51,105,0,3.468615023060842,1999-07-24
Two Face: The Flip Side,Other,Vekoma,Other,1999,38.09164090622657,-37.745520918245234,50,102,3,3.8207334679249243,1999-01-01
Wild Mouse (Hersheypark),Hersheypark,Mack Rides,Steel,1999,40.2925,-76.6548,28,43,0,2.7123323108353894,1999-05-08
Woodstock Express (Cedar Point),Cedar Point,Vekoma,Steel,1999,41.4853,-82.689,25,35,0,2.612389316425169,1999-05-10
Woodstock Express (Michigan's Adventure),Michigan's Adventure,Chance Rides,Steel,1999,43.3423,-86.2807,15,8,0,2.28927915896573,1999-07-10
Woody Woodpecker's Nuthouse Coaster,Universal Studios Florida,Vekoma,Steel,1999,28.4739,-81.4649,21,26,0,2.4442218051846503,1999-03-13
Batman: The Ride (Six Flags México),Six Flags Mexico,Vekoma,Steel,2000,19.2952,-99.2065,49,101,5,3.8702700801582743,2000-04-14
Boomerang (Worlds of Fun),Worlds of Fun,Vekoma,Steel,2000,39.1731,-94.4851,47,94,6,3.9986232377928914,2000-04-08
The Boss (roller coaster),Six Flags St. Louis,Custom Coasters International,Wood,2000,38.5161,-90.6789,66,146,0,3.9302900507607426,2000-04-29
Boulder Dash (roller coaster),Lake Compounce,Custom Coasters International,Wood,2000,41.6392,-72.9245,60,129,0,3.76027552259157,2000-05-21
Catwoman's Whip,Six Flags New England,Zierer,Steel,2000,42.0371,-72.6117,22,28,0,2.531001445142895,2000-05-05
Dania Beach Hurricane,Boomers!,"Coaster Works, Inc.",Wood,2000,26.054,-80.1603,50,102,0,3.0,2000-11-01
Diving Machine G5,Janfusun Fancyworld,Bolliger & Mabillard,Steel,2000,23.6181,120.5772,68,154,0,5.0,2000-03-29
Dominator (roller coaster),Other,Bolliger & Mabillard,Steel,2000,37.633942721711605,-35.8122636407395,65,142,5,3.8,1999-01-01
Flying Dutchman Gold Mine,Other,Mack Rides,Steel,2000,38.68764136392258,-39.88549098934982,28,45,0,2.7420834529227776,1999-01-01
Flying Super Saturator,Carowinds,Setpoint USA,Steel,2000,35.1027,-80.9431,30,48,0,2.7370020463902804,2000-04-01
Flying Unicorn,Other,"Vekoma (Orlando, Japan)Mack Rides (Hollywood, Beijing)",Steel,2000,38.70527543811291,-40.15564969758748,28,45,0,2.754438243792311,1999-01-01
Ghost Chasers (roller coaster),Movie Park Germany,Mack Rides,Steel,2000,51.6195,6.9765,28,45,0,2.85924570297189,2000-01-01
Goliath (Six Flags Magic Mountain),Six Flags Magic Mountain,Giovanola,Steel,2000,34.4269,-118.5969,85,196,0,4.48953865274499,2000-02-11
Gotham City Gauntlet: Escape from Arkham Asylum,Other,Maurer AG,Steel,2000,38.71838024844112,-40.183405889537994,28,43,0,2.738089739319623,1999-01-01
Hurricane: Category 5,Myrtle Beach Pavilion,Custom Coasters International,Wood,2000,33.6918,-78.8817,55,115,0,3.0,2000-05-06
Jet Star (Luna Park),Other,Anton Schwarzkopf,Steel,2000,38.637130424406216,-40.011317499445,31,52,0,2.839450467050291,1999-01-01
Katun (roller coaster),Mirabilandia,Bolliger & Mabillard,Steel,2000,44.3383,12.2668,65,143,6,4.0,2000-04-01
Kraken (roller coaster),SeaWorld Orlando,Bolliger & Mabillard,Steel,2000,28.4111,-81.4583,65,142,7,3.9,2000-06-01
The Legend (roller coaster),Holiday World & Splashin' Safari,Custom Coasters International,Wood,2000,38.1202,-86.914,59,126,0,3.6938861955775195,2000-05-06
Lightning Racer,Other,Great Coasters International,Wood,2000,40.2929,-76.6532,51,105,0,3.6,2000-05-13
Linnunrata,Linnanmäki,Zierer,Steel,2000,60.1878,24.94,24,23,0,2.7938362012329883,2000-05-01
Medusa (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Bolliger & Mabillard,Steel,2000,38.1406,-122.2336,65,142,7,4.5,2000-03-18
Mega Zeph,Six Flags New Orleans,Custom Coasters International,Wood,2000,30.0531,-89.9375,57,121,0,3.5865365885799605,2000-05-20
Millennium Force,Cedar Point,Intamin,Steel,2000,41.4817,-82.6881,93,218,0,4.5,2000-05-13
Muskrat Scrambler,Six Flags New Orleans,L&T Systems,Steel,2000,30.0515,-89.9357,25,35,0,2.5384149377935543,2000-05-20
Possessed (roller coaster),Other,Intamin,Steel,2000,37.63452702690985,-38.148704416250894,70,156,0,3.7,1999-01-01
Ravine Flyer III,Waldameer Park,E&F Miler Industries,Steel,2000,42.109,-80.1565,47,94,0,3.329059449095105,2000-01-01
RC-48,Morey's Piers,Pinfari,Steel,2000,38.9888,-74.8023,47,95,0,3.3255550452443146,2000-01-01
Road Runner Express (Six Flags Kentucky Kingdom),Other,Maurer AG,Steel,2000,38.71838024844112,-40.183405889537994,28,43,0,2.738089739319623,1999-01-01
Road Runner Express (Six Flags New Orleans),Other,Vekoma,Steel,2000,38.88350085857658,-40.53313390811377,21,26,0,2.5320985829637337,1999-01-01
Road Runner Rollercoaster,Warner Bros. Movie World,Vekoma,Steel,2000,38.74017261343184,-40.494153558330254,28,42,0,2.7498996664268986,1999-01-01
Roller Coaster (Papéa Parc),Other,Zierer,Other,2000,41.3535,-81.3756,22,28,0,2.517126562571864,1999-01-01
Roller Coaster (Suoi Tien Park),Suoi Tien Amusement Park,Vekoma,Steel,2000,10.8607,106.8044,43,98,0,2.0,2000-01-01
Son of Beast,Kings Island,Roller Coaster Corporation of America,Wood,2000,39.3461,-84.2647,78,179,1,4.5,2000-04-28
Speed – The Ride,Other,Premier Rides,Steel,2000,37.618614075946915,-37.808221208152645,70,156,1,3.5,2000-04-28
Speed of Sound (roller coaster),Walibi Holland,Vekoma,Steel,2000,52.4406,5.7681,47,95,3,5.2,2000-04-22
Steel Dragon 2000,Nagashima Spa Land,D. H. Morgan Manufacturing,Steel,2000,35.0312,136.7301,95,318,0,5.2936024680284,2000-08-01
Superman The Ride,Six Flags New England,Intamin,Steel,2000,42.0386,-72.6114,77,175,0,3.6,2000-05-05
Superman: Krypton Coaster,Six Flags Fiesta Texas,Bolliger & Mabillard,Steel,2000,29.5952,-98.61,70,155,6,3.8,2000-03-11
Svalbard Ekspressen,Kongeparken,Vekoma,Steel,2000,58.7801,5.8405,21,27,0,2.6825464815951463,2000-01-01
Untamed (Walibi Holland),Walibi Holland,Rocky Mountain Construction,Steel,2000,52.4428,5.7608,57,122,5,4.400209391812602,2019-07-01
Villain (roller coaster),Geauga Lake,Custom Coasters International,Other,2000,41.3528,-81.3725,59,126,0,3.715909992571685,2000-05-05
Woodstock Express (Dorney Park),Dorney Park & Wildwater Kingdom,Zamperla,Steel,2000,40.5793,-75.5326,13,3,0,2.2126730789627764,2000-05-05
Xpress: Platform 13,Walibi Holland,Vekoma,Steel,2000,52.4392,5.7639,55,119,3,4.12361951138584,2000-04-01
Zydeco Scream,Other,Vekoma,Steel,2000,38.072095783844645,-36.346445396060744,47,95,3,5.2,1999-01-01
Batwing (roller coaster),Six Flags America,Vekoma,Steel,2001,38.9103,-76.7786,50,102,5,4.3,2001-06-16
California Screamin',Disney California Adventure,Intamin,Steel,2001,33.8046,-117.9218,55,115,1,3.610728905669493,2001-02-08
Cheetah (Wild Adventures),Wild Adventures,Custom Coasters International,Wood,2001,30.7196,-83.3257,52,108,0,3.422875262992207,2001-06-16
