Coaster_Name,Location,Manufacturer,Type_Main,Year_Introduced,Latitude,Longitude,Speed_mph,Height_ft,Inversions,Gforce,Opening_Date
Thunderbolt (Dreamworld),Dreamworld,Sanoyas Hishino Meisho,Steel,1982,-27.8651,153.3165,54,101,2,3.928312889250403,1982-04-01
Viper (Six Flags Darien Lake),Six Flags Darien Lake,Arrow Dynamics,Steel,1982,42.9283,-78.3817,50,98,5,4.216542240090458,1982-05-29
Vortex (Calaway Park),Calaway Park,Arrow Dynamics,Steel,1982,51.0875,-114.3594,47,92,2,3.78585488461637,1982-01-01
Alpen Blitz (Parque de la Ciudad),"Argentina, Villa Soldati, Buenos Aires",Vekoma,Other,1983,38.889844661574735,-47.580086604930216,45,86,0,3.486316260093581,1999-01-01
Beastie (Alton Towers),Alton Towers,Pinfari,Steel,1983,52.9893,-1.8945,17,11,0,2.680075175569634,1983-01-01
Black Hole (roller coaster),Alton Towers,Anton Schwarzkopf,Steel,1983,52.9873,-1.8953,32,51,0,2.9,1983-01-01
Colossus the Fire Dragon,Lagoon Amusement Park,Anton Schwarzkopf,Steel,1983,40.9836,-111.8951,55,112,2,4.9,1983-01-01
Cyclone (Six Flags New England),Six Flags New England,Rocky Mountain Construction,Steel,1983,42.0403,-72.6156,55,112,3,4.138038089262068,2015-05-24
Dragon Mountain,Marineland of Canada,Arrow Huss,Steel,1983,43.0613,-79.0804,50,99,4,4.088250564968504,1983-07-16
Flitzer,Morey's Piers,Zierer,Steel,1983,38.9893,-74.8033,45,86,0,3.4557995354381106,1983-01-01
Moonsault Scramble,Fuji-Q Highland,Meisho Amusement Machines,Steel,1983,35.487,138.78,55,118,2,6.5,1983-06-24
Sky Screamer (Six Flags AstroWorld),Six Flags AstroWorld,Intamin,Other,1983,29.675,-95.407,62,131,0,4.5,1983-01-01
Space Mountain (Tokyo Disneyland),Other,Vekoma,Steel,1983,39.29279212661544,-48.43935741130895,30,45,0,2.9845538895993897,1983-04-15
Timberline Twister,"8039 Beach BoulevardBuena Park, California 90620, U.S.",Vekoma,Other,1983,33.8442,-118.0003,45,87,0,3.3912042789704344,1999-01-01
Alpenexpress Enzian,Europa-Park,Mack Rides,Steel,1984,39.607301666885945,-50.957259461202284,28,19,0,2.869641218906036,1984-01-01
Alpine Bobsled,Other,Intamin,Steel,1984,39.12487160453997,-47.66962041594695,35,59,0,3.137387750068104,1999-01-01
Astro Storm,Other,Zierer,Steel,1984,39.09750676040359,-47.99511053504841,37,64,0,2.6,1999-01-01
Big Bad Wolf (roller coaster),Busch Gardens Williamsburg,Arrow Dynamics,Steel,1984,37.2335,-76.6449,48,94,0,4.0,1984-06-15
Boomerang (roller coaster),Other,Vekoma,Other,1984,38.27377403617773,-40.07075244989653,47,116,6,4.282193775989313,1999-01-01
Flying Fish (roller coaster),Thorpe Park,Mack Rides,Steel,1984,51.4052,-0.5139,16,10,0,2.1,1984-01-01
King Cobra (roller coaster),Kings Island,TOGO,Steel,1984,39.345,-84.2659,50,99,1,3.702300647671116,1984-04-22
Sea Serpent (Morey's Piers),Morey's Piers,Vekoma,Steel,1984,38.9858,-74.8097,47,91,3,5.2,1984-01-01
Steamin' Demon,Great Escape,Arrow Dynamics,Steel,1984,43.3513,-73.6927,45,85,3,3.8043231111810627,1984-05-26
Tig'rr Coaster,Indiana Beach,Anton Schwarzkopf,Steel,1984,40.7903,-86.7706,31,48,0,2.9700563763684507,1984-01-01
